UserID,task_completion_rate,overdue_rate,rating,leave_count,Turnover
1,0.83,0.11,3.61,0,1
2,0.85,0.08,5.0,0,0
3,0.94,0.0,3.14,1,0
4,0.88,0.06,5.0,2,0
5,1.0,0.08,4.71,0,0
6,0.35,0.29,2.93,3,1
7,0.45,0.3,3.15,1,1
8,0.53,0.37,3.58,2,1
9,0.35,0.18,3.58,2,1
10,0.74,0.21,4.18,1,0
11,0.24,0.47,2.21,2,1
12,0.69,0.15,3.72,0,0
13,0.33,0.13,3.73,4,1
14,1.0,0.0,5.0,1,0
15,0.84,0.0,5.0,0,0
16,0.73,0.0,4.6,2,1
17,0.78,0.0,4.15,0,0
18,0.88,0.06,3.59,1,0
19,0.88,0.06,4.3,1,0
20,0.0,0.5,2.75,3,1
21,1.0,0.0,5.0,0,0
22,0.69,0.08,4.09,0,1
23,0.83,0.0,4.28,0,0
24,0.6,0.2,3.75,4,0
25,0.85,0.0,4.49,2,0
26,0.17,0.33,3.72,2,0
27,0.89,0.0,3.7,1,0
28,0.33,0.33,3.17,1,0
29,1.0,0.05,4.32,2,0
30,0.83,0.0,4.24,0,0
31,1.0,0.0,4.63,2,0
32,0.33,0.33,3.77,4,1
33,0.43,0.29,1.64,3,0
34,0.95,0.05,4.13,2,0
35,0.62,0.25,3.9,2,0
36,0.5,0.17,4.21,0,0
37,0.33,0.0,3.67,2,1
38,0.7,0.2,4.38,0,1
39,1.0,0.0,5.0,1,0
40,1.0,0.1,4.66,1,0
41,0.69,0.0,4.61,2,0
42,1.0,0.08,5.0,1,1
43,0.92,0.0,4.73,2,0
44,1.0,0.07,4.42,1,0
45,1.0,0.1,5.0,0,0
46,0.89,0.06,4.6,2,0
47,0.86,0.0,4.52,1,0
48,1.0,0.07,4.37,2,0
49,0.73,0.0,4.21,1,0
50,0.61,0.33,3.43,2,1
51,0.5,0.12,3.39,0,1
52,0.4,0.3,3.14,3,0
53,0.95,0.0,5.0,1,0
54,0.27,0.4,3.69,1,1
55,0.5,0.17,3.35,3,0
56,0.67,0.0,5.0,0,1
57,0.88,0.0,5.0,2,0
58,0.75,0.0,3.65,2,1
59,0.44,0.11,3.77,1,0
60,0.62,0.0,4.53,2,0
61,0.53,0.24,3.38,2,0
62,0.64,0.27,3.87,3,1
63,0.06,0.59,3.36,5,1
64,1.0,0.06,5.0,0,0
65,0.8,0.0,3.25,1,0
66,0.71,0.06,5.0,1,0
67,0.78,0.0,3.52,1,0
68,0.33,0.5,2.85,2,0
69,0.25,0.25,3.69,3,1
70,1.0,0.06,4.59,0,0
71,0.59,0.12,3.44,3,0
72,0.5,0.33,3.36,3,0
73,0.4,0.4,3.11,4,0
74,0.6,0.1,4.3,2,1
75,0.92,0.08,4.03,0,0
76,0.76,0.0,4.09,2,0
77,0.67,0.0,4.23,0,0
78,0.79,0.0,4.87,0,0
79,0.57,0.14,2.84,3,0
80,0.29,0.14,4.26,3,1
81,0.0,0.5,2.3,2,0
82,0.17,0.17,3.24,1,1
83,0.26,0.11,2.56,4,1
84,0.73,0.18,4.79,1,0
85,0.63,0.0,4.63,0,0
86,0.76,0.06,5.0,1,0
87,0.6,0.2,4.7,0,0
88,0.1,0.5,2.49,3,0
89,1.0,0.08,3.41,1,0
90,0.86,0.07,4.39,0,0
91,0.29,0.29,2.67,3,1
92,0.6,0.0,3.86,1,0
93,0.75,0.05,3.59,2,1
94,0.08,0.38,2.67,2,0
95,0.11,0.37,3.79,4,1
96,1.0,0.0,4.95,2,0
97,0.87,0.0,4.78,2,0
98,0.36,0.18,3.19,4,1
99,0.67,0.0,5.0,0,0
100,0.65,0.06,3.78,0,0
101,0.38,0.38,2.27,2,1
102,0.78,0.0,4.8,2,1
103,0.86,0.0,4.75,2,0
104,0.0,0.33,2.6,5,0
105,0.31,0.25,2.87,1,1
106,0.83,0.0,4.89,1,0
107,0.7,0.25,2.81,2,0
108,0.43,0.14,4.4,1,1
109,0.86,0.0,3.52,1,0
110,0.26,0.58,1.92,4,0
111,0.92,0.08,4.73,0,0
112,0.9,0.0,4.4,1,0
113,0.14,0.57,1.25,5,1
114,1.0,0.0,4.59,2,0
115,0.92,0.08,5.0,1,0
116,0.17,0.5,2.02,4,0
117,0.9,0.0,4.69,0,0
118,0.73,0.0,4.1,2,0
119,0.72,0.22,4.79,2,1
120,0.67,0.13,3.75,0,0
