UserID,profile,total_tasks,done_tasks,overdue_tasks,In_progress_tasks,leave_count,rating,Turnover
1,pressured,18,15,2,3,0,3.61,1
2,stable,13,11,1,2,0,5.0,0
3,stable,17,16,0,1,1,3.14,0
4,stable,17,15,1,2,2,5.0,0
5,stable,12,12,1,0,0,4.71,0
6,high_risk,17,6,5,11,3,2.93,1
7,declining,20,9,6,11,1,3.15,1
8,declining,19,10,7,9,2,3.58,1
9,declining,17,6,3,11,2,3.58,1
10,pressured,19,14,4,5,1,4.18,0
11,high_risk,17,4,8,13,2,2.21,1
12,pressured,13,9,2,4,0,3.72,0
13,declining,15,5,2,10,4,3.73,1
14,stable,13,13,0,0,1,5.0,0
15,stable,19,16,0,3,0,5.0,0
16,pressured,15,11,0,4,2,4.6,1
17,stable,9,7,0,2,0,4.15,0
18,stable,16,14,1,2,1,3.59,0
19,stable,17,15,1,2,1,4.3,0
20,high_risk,6,0,3,6,3,2.75,1
21,stable,11,11,0,0,0,5.0,0
22,stable,13,9,1,4,0,4.09,1
23,stable,12,10,0,2,0,4.28,0
24,declining,10,6,2,4,4,3.75,0
25,stable,13,11,0,2,2,4.49,0
26,declining,6,1,2,5,2,3.72,0
27,stable,9,8,0,1,1,3.7,0
28,declining,12,4,4,8,1,3.17,0
29,stable,20,20,1,0,2,4.32,0
30,stable,6,5,0,1,0,4.24,0
31,stable,8,8,0,0,2,4.63,0
32,high_risk,9,3,3,6,4,3.77,1
33,high_risk,7,3,2,4,3,1.64,0
34,stable,19,18,1,1,2,4.13,0
35,pressured,16,10,4,6,2,3.9,0
36,pressured,6,3,1,3,0,4.21,0
37,declining,6,2,0,4,2,3.67,1
38,pressured,10,7,2,3,0,4.38,1
39,stable,6,6,0,0,1,5.0,0
40,stable,20,20,2,0,1,4.66,0
41,stable,13,9,0,4,2,4.61,0
42,stable,13,13,1,0,1,5.0,1
43,stable,13,12,0,1,2,4.73,0
44,stable,15,15,1,0,1,4.42,0
45,stable,20,20,2,0,0,5.0,0
46,stable,18,16,1,2,2,4.6,0
47,stable,7,6,0,1,1,4.52,0
48,stable,15,15,1,0,2,4.37,0
49,stable,15,11,0,4,1,4.21,0
50,declining,18,11,6,7,2,3.43,1
51,pressured,8,4,1,4,0,3.39,1
